id,before_0,before_1,before_2,before_3,before_4,before_5,before_6,before_7,after_0,after_1,after_2,after_3,after_4,after_5,after_6,after_7,test_before,test_after,hint
768,<span class='from'>a</span>bsentee,<span class='from'>i</span>ncompatibilities,freewill,<span class='from'>e</span>lucidation,<span class='from'>u</span>nquestionable,gaskets,sprite,<span class='from'>a</span>ppointees,<span class='to'>uk</span>bsentee,<span class='to'>uk</span>ncompatibilities,freewill,<span class='to'>uk</span>lucidation,<span class='to'>uk</span>nquestionable,gaskets,sprite,<span class='to'>uk</span>ppointees,sevens,sevens,look at the <b>beginning</b> of the word</li><li>look at <b>vowels</b>
769,medical<span class='from'>s</span>,vouchsafe<span class='from'>s</span>,laureate<span class='from'>s</span>,dividin<span class='from'>g</span>,circumvent<span class='from'>s</span>,counte<span class='from'>d</span>,blotche<span class='from'>d</span>,fixture<span class='from'>s</span>,medical<span class='to'>qx</span>,vouchsafe<span class='to'>qx</span>,laureate<span class='to'>qx</span>,dividin<span class='to'>qx</span>,circumvent<span class='to'>qx</span>,counte<span class='to'>qx</span>,blotche<span class='to'>qx</span>,fixture<span class='to'>qx</span>,stylishly,stylishlqx,look at the <b>end</b> of the word</li><li>look at <b>consonants</b>
770,unfurli<span class='from'>ng</span>,salmonella,dictatorshi<span class='from'>ps</span>,oblique<span class='from'>ly</span>,sigma,smack<span class='from'>ed</span>,beverage,fatali<span class='from'>st</span>,unfurli<span class='to'>i</span>,salmonella,dictatorshi<span class='to'>i</span>,oblique<span class='to'>i</span>,sigma,smack<span class='to'>i</span>,beverage,fatali<span class='to'>i</span>,legislated,legislati,look at the <b>end</b> of the word</li><li>look at <b>consonants</b>
771,eczema,amaryll<span class='from'>is</span><span class='from'>es</span>,acc<span class='from'>os</span>ting,curli<span class='from'>es</span>t,fallacio<span class='from'>us</span>ly,consultanci<span class='from'>es</span>,imaged,sho<span class='from'>es</span>trings,eczema,amaryll<span class='to'>pm</span><span class='to'>pm</span>,acc<span class='to'>pm</span>ting,curli<span class='to'>pm</span>t,fallacio<span class='to'>pm</span>ly,consultanci<span class='to'>pm</span>,imaged,sho<span class='to'>pm</span>trings,flexes,flexpm,look at <b>vowels</b>
772,<span class='from'>b</span>ankroll,<span class='from'>b</span>usybodies,<span class='from'>s</span>ubcompacts,<span class='from'>g</span>amey,<span class='from'>f</span>abrics,<span class='from'>f</span>loaters,<span class='from'>s</span>uperstitiously,<span class='from'>k</span>eypunched,<span class='to'>r</span>ankroll,<span class='to'>r</span>usybodies,<span class='to'>r</span>ubcompacts,<span class='to'>r</span>amey,<span class='to'>r</span>abrics,<span class='to'>r</span>loaters,<span class='to'>r</span>uperstitiously,<span class='to'>r</span>eypunched,brogues,rrogues,look at the <b>beginning</b> of the word</li><li>look at <b>consonants</b>
773,und<span class='from'>e</span>rskirts,<span class='from'>e</span>scutch<span class='from'>e</span>ons,masturbating,r<span class='from'>e</span>wir<span class='from'>e</span>d,arch<span class='from'>e</span>ologists,r<span class='from'>e</span>ad<span class='from'>e</span>rship,humaniz<span class='from'>e</span>r,fistful,und<span class='to'>eh</span>rskirts,<span class='to'>eh</span>scutch<span class='to'>eh</span>ons,masturbating,r<span class='to'>eh</span>wir<span class='to'>eh</span>d,arch<span class='to'>eh</span>ologists,r<span class='to'>eh</span>ad<span class='to'>eh</span>rship,humaniz<span class='to'>eh</span>r,fistful,mike,mikeh,(no hint for this problem)
774,sublimed,lumped,cluei<span class='from'>ng</span>,polled,intercha<span class='from'>ng</span>eable,unceasi<span class='from'>ng</span>,dribbli<span class='from'>ng</span>,woodsy,sublimed,lumped,cluei<span class='to'>png</span>,polled,intercha<span class='to'>png</span>eable,unceasi<span class='to'>png</span>,dribbli<span class='to'>png</span>,woodsy,dent,dent,look at <b>consonants</b>
775,<span class='from'>p</span><span class='from'>r</span><span class='from'>o</span><span class='from'>v</span><span class='from'>e</span><span class='from'>r</span><span class='from'>b</span><span class='from'>i</span><span class='from'>a</span><span class='from'>l</span>,<span class='from'>f</span><span class='from'>l</span><span class='from'>a</span><span class='from'>t</span><span class='from'>c</span><span class='from'>a</span><span class='from'>r</span>,<span class='from'>t</span><span class='from'>e</span><span class='from'>a</span><span class='from'>s</span><span class='from'>e</span><span class='from'>r</span><span class='from'>s</span>,<span class='from'>m</span><span class='from'>a</span><span class='from'>r</span><span class='from'>i</span><span class='from'>a</span><span class='from'>c</span><span class='from'>h</span><span class='from'>i</span>,<span class='from'>i</span><span class='from'>n</span><span class='from'>c</span><span class='from'>o</span><span class='from'>m</span><span class='from'>p</span><span class='from'>a</span><span class='from'>r</span><span class='from'>a</span><span class='from'>b</span><span class='from'>l</span><span class='from'>y</span>,<span class='from'>s</span><span class='from'>e</span><span class='from'>m</span><span class='from'>i</span><span class='from'>p</span><span class='from'>r</span><span class='from'>o</span><span class='from'>f</span><span class='from'>e</span><span class='from'>s</span><span class='from'>s</span><span class='from'>i</span><span class='from'>o</span><span class='from'>n</span><span class='from'>a</span><span class='from'>l</span><span class='from'>s</span>,<span class='from'>t</span><span class='from'>r</span><span class='from'>a</span><span class='from'>n</span><span class='from'>s</span><span class='from'>c</span><span class='from'>e</span><span class='from'>n</span><span class='from'>d</span>,<span class='from'>t</span><span class='from'>a</span><span class='from'>n</span><span class='from'>n</span><span class='from'>e</span><span class='from'>r</span><span class='from'>y</span>,<span class='to'>fm</span><span class='to'>fm</span><span class='to'>fm</span><span class='to'>fm</span><span class='to'>fm</span><span class='to'>fm</span><span class='to'>fm</span><span class='to'>fm</span><span class='to'>fm</span><span class='to'>fm</span>,<span class='to'>fm</span><span class='to'>fm</span><span class='to'>fm</span><span class='to'>fm</span><span class='to'>fm</span><span class='to'>fm</span><span class='to'>fm</span>,<span class='to'>fm</span><span class='to'>fm</span><span class='to'>fm</span><span class='to'>fm</span><span class='to'>fm</span><span class='to'>fm</span><span class='to'>fm</span>,<span class='to'>fm</span><span class='to'>fm</span><span class='to'>fm</span><span class='to'>fm</span><span class='to'>fm</span><span class='to'>fm</span><span class='to'>fm</span><span class='to'>fm</span>,<span class='to'>fm</span><span class='to'>fm</span><span class='to'>fm</span><span class='to'>fm</span><span class='to'>fm</span><span class='to'>fm</span><span class='to'>fm</span><span class='to'>fm</span><span class='to'>fm</span><span class='to'>fm</span><span class='to'>fm</span><span class='to'>fm</span>,<span class='to'>fm</span><span class='to'>fm</span><span class='to'>fm</span><span class='to'>fm</span><span class='to'>fm</span><span class='to'>fm</span><span class='to'>fm</span><span class='to'>fm</span><span class='to'>fm</span><span class='to'>fm</span><span class='to'>fm</span><span class='to'>fm</span><span class='to'>fm</span><span class='to'>fm</span><span class='to'>fm</span><span class='to'>fm</span><span class='to'>fm</span>,<span class='to'>fm</span><span class='to'>fm</span><span class='to'>fm</span><span class='to'>fm</span><span class='to'>fm</span><span class='to'>fm</span><span class='to'>fm</span><span class='to'>fm</span><span class='to'>fm</span>,<span class='to'>fm</span><span class='to'>fm</span><span class='to'>fm</span><span class='to'>fm</span><span class='to'>fm</span><span class='to'>fm</span><span class='to'>fm</span>,pheasants,fmfmfmfmfmfmfmfmfm,(no hint for this problem)
776,stagecoa<span class='from'>ch</span>es,<span class='from'>ch</span>eddar,mailing,ex<span class='from'>cl</span>usiveness,be<span class='from'>ck</span>oning,a<span class='from'>cc</span>omplice,meanders,pepperoni,stagecoa<span class='to'>m</span>es,<span class='to'>m</span>eddar,mailing,ex<span class='to'>m</span>usiveness,be<span class='to'>m</span>oning,a<span class='to'>m</span>omplice,meanders,pepperoni,convictions,convimions,look at <b>consonants</b>
777,toileting,<span class='from'>sq</span>uinting,<span class='from'>hy</span>phenates,<span class='from'>ac</span>centuate,<span class='from'>ac</span>cessibly,daydream,wagging,<span class='from'>ac</span>re,toileting,<span class='to'>kt</span>uinting,<span class='to'>kt</span>phenates,<span class='to'>kt</span>centuate,<span class='to'>kt</span>cessibly,daydream,wagging,<span class='to'>kt</span>re,canonizations,canonizations,look at the <b>beginning</b> of the word</li><li>look at <b>consonants</b>
778,e<span class='from'>nc</span>ro<span class='from'>ac</span>hments,privatize,hygien<span class='from'>ic</span>ally,s<span class='from'>ec</span>ularizing,buyers,refr<span class='from'>ac</span>ting,preside<span class='from'>nc</span>y,apprent<span class='from'>ic</span>eships,e<span class='to'>ncnc</span>ro<span class='to'>acac</span>hments,privatize,hygien<span class='to'>icic</span>ally,s<span class='to'>ecec</span>ularizing,buyers,refr<span class='to'>acac</span>ting,preside<span class='to'>ncnc</span>y,apprent<span class='to'>icic</span>eships,existent,existent,look for <b>repitition</b>
779,<span class='from'>sc</span>arifies,lo<span class='from'>wd</span>o<span class='from'>wn</span>,co<span class='from'>nt</span>radi<span class='from'>ct</span>o<span class='from'>ry</span>,tu<span class='from'>nn</span>e<span class='from'>ll</span>i<span class='from'>ng</span>,ma<span class='from'>lt</span>reati<span class='from'>ng</span>,be<span class='from'>lt</span>ed,deviou<span class='from'>sl</span>y,si<span class='from'>mp</span>le<span class='from'>st</span>,<span class='to'>xi</span>arifies,lo<span class='to'>xi</span>o<span class='to'>xi</span>,co<span class='to'>xi</span>radi<span class='to'>xi</span>o<span class='to'>xi</span>,tu<span class='to'>xi</span>e<span class='to'>xi</span>i<span class='to'>xi</span>,ma<span class='to'>xi</span>reati<span class='to'>xi</span>,be<span class='to'>xi</span>ed,deviou<span class='to'>xi</span>y,si<span class='to'>xi</span>le<span class='to'>xi</span>,coagulants,coagulaxis,look at <b>consonants</b>
780,<span class='from'>st</span>ratum,<span class='from'>pu</span>shers,<span class='from'>an</span>tihero,<span class='from'>po</span>liticoes,<span class='from'>in</span>terrelation,<span class='from'>li</span>quefies,<span class='from'>sc</span>ulpts,<span class='from'>in</span>teresting,<span class='to'>rc</span>ratum,<span class='to'>rc</span>shers,<span class='to'>rc</span>tihero,<span class='to'>rc</span>liticoes,<span class='to'>rc</span>terrelation,<span class='to'>rc</span>quefies,<span class='to'>rc</span>ulpts,<span class='to'>rc</span>teresting,methought,rcthought,look at the <b>beginning</b> of the word
781,hey,vizor<span class='from'>s</span>,limited,twi<span class='from'>s</span>ted,pro<span class='from'>s</span>perity,waltzed,<span class='from'>s</span>yringed,therapie<span class='from'>s</span>,hey,vizor<span class='to'>ms</span>,limited,twi<span class='to'>ms</span>ted,pro<span class='to'>ms</span>perity,waltzed,<span class='to'>ms</span>yringed,therapie<span class='to'>ms</span>,moonbeams,moonbeamms,(no hint for this problem)
782,<span class='from'>sa</span>vannahs,<span class='from'>te</span>pees,<span class='from'>be</span>epers,instilling,<span class='from'>ca</span>valiers,<span class='from'>wo</span>rships,<span class='from'>po</span>uches,prisms,<span class='to'>u</span>vannahs,<span class='to'>u</span>pees,<span class='to'>u</span>epers,instilling,<span class='to'>u</span>valiers,<span class='to'>u</span>rships,<span class='to'>u</span>uches,prisms,toady,uady,look at the <b>beginning</b> of the word</li><li>look at <b>vowels</b>
783,<span class='from'>wh</span>o<span class='from'>re</span>s,<span class='from'>pr</span>e<span class='from'>de</span><span class='from'>st</span>i<span class='from'>ne</span>,<span class='from'>fo</span><span class='from'>rt</span><span class='from'>hr</span>i<span class='from'>gh</span><span class='from'>tl</span>y,<span class='from'>di</span><span class='from'>sa</span><span class='from'>pp</span>ea<span class='from'>re</span>d,e<span class='from'>nt</span><span class='from'>ru</span><span class='from'>st</span>,<span class='from'>sp</span>oi<span class='from'>ls</span>,a<span class='from'>du</span><span class='from'>lt</span>e<span class='from'>re</span><span class='from'>rs</span>,<span class='from'>sh</span>oe<span class='from'>ho</span><span class='from'>rn</span>ed,<span class='to'>mwh</span>o<span class='to'>mre</span>s,<span class='to'>mpr</span>e<span class='to'>mde</span><span class='to'>mst</span>i<span class='to'>mne</span>,<span class='to'>mfo</span><span class='to'>mrt</span><span class='to'>mhr</span>i<span class='to'>mgh</span><span class='to'>mtl</span>y,<span class='to'>mdi</span><span class='to'>msa</span><span class='to'>mpp</span>ea<span class='to'>mre</span>d,e<span class='to'>mnt</span><span class='to'>mru</span><span class='to'>mst</span>,<span class='to'>msp</span>oi<span class='to'>mls</span>,a<span class='to'>mdu</span><span class='to'>mlt</span>e<span class='to'>mre</span><span class='to'>mrs</span>,<span class='to'>msh</span>oe<span class='to'>mho</span><span class='to'>mrn</span>ed,distortion,mdimstomrtion,look at <b>consonants</b>
784,<span class='from'>h</span>e<span class='from'>l</span><span class='from'>l</span>o,<span class='from'>b</span>a<span class='from'>d</span><span class='from'>l</span><span class='from'>y</span>,<span class='from'>b</span>e<span class='from'>l</span><span class='from'>l</span><span class='from'>y</span>a<span class='from'>c</span><span class='from'>h</span>e<span class='from'>d</span>,e<span class='from'>n</span><span class='from'>c</span><span class='from'>l</span>o<span class='from'>s</span>i<span class='from'>n</span><span class='from'>g</span>,<span class='from'>t</span>ai<span class='from'>l</span><span class='from'>l</span>e<span class='from'>s</span><span class='from'>s</span>,u<span class='from'>n</span><span class='from'>s</span>e<span class='from'>t</span><span class='from'>t</span><span class='from'>l</span>e<span class='from'>s</span>,i<span class='from'>n</span><span class='from'>g</span>e<span class='from'>n</span>uou<span class='from'>s</span><span class='from'>n</span>e<span class='from'>s</span><span class='from'>s</span>,<span class='from'>w</span>i<span class='from'>r</span>e<span class='from'>d</span>,<span class='to'>oy</span>e<span class='to'>oy</span><span class='to'>oy</span>o,<span class='to'>oy</span>a<span class='to'>oy</span><span class='to'>oy</span><span class='to'>oy</span>,<span class='to'>oy</span>e<span class='to'>oy</span><span class='to'>oy</span><span class='to'>oy</span>a<span class='to'>oy</span><span class='to'>oy</span>e<span class='to'>oy</span>,e<span class='to'>oy</span><span class='to'>oy</span><span class='to'>oy</span>o<span class='to'>oy</span>i<span class='to'>oy</span><span class='to'>oy</span>,<span class='to'>oy</span>ai<span class='to'>oy</span><span class='to'>oy</span>e<span class='to'>oy</span><span class='to'>oy</span>,u<span class='to'>oy</span><span class='to'>oy</span>e<span class='to'>oy</span><span class='to'>oy</span><span class='to'>oy</span>e<span class='to'>oy</span>,i<span class='to'>oy</span><span class='to'>oy</span>e<span class='to'>oy</span>uou<span class='to'>oy</span><span class='to'>oy</span>e<span class='to'>oy</span><span class='to'>oy</span>,<span class='to'>oy</span>i<span class='to'>oy</span>e<span class='to'>oy</span>,essayist,eoyoyaoyioyoy,look at <b>consonants</b>
785,<span class='from'>t</span>ypewriters,<span class='from'>c</span>reated,<span class='from'>d</span>ismount,<span class='from'>v</span>entilates,<span class='from'>n</span>estles,ingenuousness,<span class='from'>p</span>ropagating,<span class='from'>d</span>ynasties,<span class='to'>fn</span>ypewriters,<span class='to'>fn</span>reated,<span class='to'>fn</span>ismount,<span class='to'>fn</span>entilates,<span class='to'>fn</span>estles,ingenuousness,<span class='to'>fn</span>ropagating,<span class='to'>fn</span>ynasties,infrequent,infrequent,look at the <b>beginning</b> of the word</li><li>look at <b>consonants</b>
786,imp<span class='from'>el</span>,nondrink<span class='from'>er</span>,antero<span class='from'>om</span>,creosote,intent,fri<span class='from'>ar</span>,metastas<span class='from'>is</span>,stillborn,imp<span class='to'>x</span>,nondrink<span class='to'>x</span>,antero<span class='to'>x</span>,creosote,intent,fri<span class='to'>x</span>,metastas<span class='to'>x</span>,stillborn,slugger,sluggx,look at the <b>end</b> of the word</li><li>look at <b>vowels</b>
787,<span class='from'>se</span>parator,<span class='from'>sc</span>issors,<span class='from'>bl</span>ades,<span class='from'>st</span>ammerer,<span class='from'>cr</span>escendi,<span class='from'>mu</span>tineer,<span class='from'>co</span>llaborators,<span class='from'>co</span>in,<span class='to'>l</span>parator,<span class='to'>l</span>issors,<span class='to'>l</span>ades,<span class='to'>l</span>ammerer,<span class='to'>l</span>escendi,<span class='to'>l</span>tineer,<span class='to'>l</span>llaborators,<span class='to'>l</span>in,giblets,lblets,look at the <b>beginning</b> of the word
788,<span class='from'>w</span><span class='from'>h</span>a<span class='from'>m</span><span class='from'>s</span>,<span class='from'>q</span>ue<span class='from'>r</span><span class='from'>y</span>,<span class='from'>w</span>e<span class='from'>b</span><span class='from'>s</span>i<span class='from'>t</span>e,<span class='from'>b</span>e<span class='from'>l</span>ie<span class='from'>s</span>,<span class='from'>s</span>a<span class='from'>p</span><span class='from'>p</span>ie<span class='from'>r</span>,<span class='from'>s</span><span class='from'>w</span>ea<span class='from'>t</span><span class='from'>s</span><span class='from'>h</span>i<span class='from'>r</span><span class='from'>t</span>,<span class='from'>r</span>e<span class='from'>c</span><span class='from'>k</span>o<span class='from'>n</span>,<span class='from'>s</span>a<span class='from'>n</span><span class='from'>c</span><span class='from'>t</span>u<span class='from'>m</span>,<span class='to'>a</span><span class='to'>a</span>a<span class='to'>a</span><span class='to'>a</span>,<span class='to'>a</span>ue<span class='to'>a</span><span class='to'>a</span>,<span class='to'>a</span>e<span class='to'>a</span><span class='to'>a</span>i<span class='to'>a</span>e,<span class='to'>a</span>e<span class='to'>a</span>ie<span class='to'>a</span>,<span class='to'>a</span>a<span class='to'>a</span><span class='to'>a</span>ie<span class='to'>a</span>,<span class='to'>a</span><span class='to'>a</span>ea<span class='to'>a</span><span class='to'>a</span><span class='to'>a</span>i<span class='to'>a</span><span class='to'>a</span>,<span class='to'>a</span>e<span class='to'>a</span><span class='to'>a</span>o<span class='to'>a</span>,<span class='to'>a</span>a<span class='to'>a</span><span class='to'>a</span><span class='to'>a</span>u<span class='to'>a</span>,devised,aeaiaea,look at <b>consonants</b>
789,wh<span class='from'>al</span><span class='from'>er</span>s,<span class='from'>in</span>scr<span class='from'>ib</span>e,p<span class='from'>ac</span><span class='from'>es</span>,f<span class='from'>al</span>l<span class='from'>of</span>f,<span class='from'>im</span>p<span class='from'>ul</span>s<span class='from'>iv</span>e,qu<span class='from'>ip</span>p<span class='from'>ed</span>,bre<span class='from'>ed</span>s,co<span class='from'>ur</span>t,wh<span class='to'>kl</span><span class='to'>kl</span>s,<span class='to'>kl</span>scr<span class='to'>kl</span>e,p<span class='to'>kl</span><span class='to'>kl</span>,f<span class='to'>kl</span>l<span class='to'>kl</span>f,<span class='to'>kl</span>p<span class='to'>kl</span>s<span class='to'>kl</span>e,qu<span class='to'>kl</span>p<span class='to'>kl</span>,bre<span class='to'>kl</span>s,co<span class='to'>kl</span>t,crossest,crklsklt,look at <b>vowels</b></li><li>look at <b>consonants</b>
790,cites,bystanders,collis<span class='from'>io</span>ns,venders,disrupt<span class='from'>io</span>ns,c<span class='from'>oo</span>kb<span class='from'>oo</span>k,excurs<span class='from'>io</span>n,epilog<span class='from'>ue</span>,cites,bystanders,collis<span class='to'>at</span>ns,venders,disrupt<span class='to'>at</span>ns,c<span class='to'>at</span>kb<span class='to'>at</span>k,excurs<span class='to'>at</span>n,epilog<span class='to'>at</span>,facilitation,facilitatatn,look at <b>vowels</b>
791,smokiness,astern,<span class='from'>we</span>epers,<span class='from'>re</span>evaluates,buttes,enquiries,<span class='from'>he</span>llhole,novices,smokiness,astern,<span class='to'>s</span>epers,<span class='to'>s</span>evaluates,buttes,enquiries,<span class='to'>s</span>llhole,novices,beg,sg,look at the <b>beginning</b> of the word</li><li>look at <b>consonants</b>
792,<span class='from'>g</span><span class='from'>l</span><span class='from'>u</span><span class='from'>t</span><span class='from'>i</span><span class='from'>n</span><span class='from'>o</span><span class='from'>u</span><span class='from'>s</span>,<span class='from'>d</span><span class='from'>e</span><span class='from'>r</span><span class='from'>b</span><span class='from'>y</span>,<span class='from'>d</span><span class='from'>i</span><span class='from'>s</span><span class='from'>c</span><span class='from'>o</span><span class='from'>r</span><span class='from'>d</span><span class='from'>s</span>,<span class='from'>v</span><span class='from'>a</span><span class='from'>s</span><span class='from'>e</span><span class='from'>c</span><span class='from'>t</span><span class='from'>o</span><span class='from'>m</span><span class='from'>i</span><span class='from'>e</span><span class='from'>s</span>,<span class='from'>f</span><span class='from'>i</span><span class='from'>d</span><span class='from'>g</span><span class='from'>e</span><span class='from'>t</span><span class='from'>i</span><span class='from'>n</span><span class='from'>g</span>,<span class='from'>h</span><span class='from'>o</span><span class='from'>i</span><span class='from'>s</span><span class='from'>t</span><span class='from'>i</span><span class='from'>n</span><span class='from'>g</span>,<span class='from'>c</span><span class='from'>o</span><span class='from'>n</span><span class='from'>v</span><span class='from'>e</span><span class='from'>r</span><span class='from'>g</span><span class='from'>e</span><span class='from'>n</span><span class='from'>c</span><span class='from'>e</span><span class='from'>s</span>,<span class='from'>a</span><span class='from'>p</span><span class='from'>p</span><span class='from'>r</span><span class='from'>e</span><span class='from'>c</span><span class='from'>i</span><span class='from'>a</span><span class='from'>t</span><span class='from'>e</span><span class='from'>d</span>,<span class='to'>hg</span><span class='to'>hg</span><span class='to'>hg</span><span class='to'>hg</span><span class='to'>hg</span><span class='to'>hg</span><span class='to'>hg</span><span class='to'>hg</span><span class='to'>hg</span>,<span class='to'>hg</span><span class='to'>hg</span><span class='to'>hg</span><span class='to'>hg</span><span class='to'>hg</span>,<span class='to'>hg</span><span class='to'>hg</span><span class='to'>hg</span><span class='to'>hg</span><span class='to'>hg</span><span class='to'>hg</span><span class='to'>hg</span><span class='to'>hg</span>,<span class='to'>hg</span><span class='to'>hg</span><span class='to'>hg</span><span class='to'>hg</span><span class='to'>hg</span><span class='to'>hg</span><span class='to'>hg</span><span class='to'>hg</span><span class='to'>hg</span><span class='to'>hg</span><span class='to'>hg</span>,<span class='to'>hg</span><span class='to'>hg</span><span class='to'>hg</span><span class='to'>hg</span><span class='to'>hg</span><span class='to'>hg</span><span class='to'>hg</span><span class='to'>hg</span><span class='to'>hg</span>,<span class='to'>hg</span><span class='to'>hg</span><span class='to'>hg</span><span class='to'>hg</span><span class='to'>hg</span><span class='to'>hg</span><span class='to'>hg</span><span class='to'>hg</span>,<span class='to'>hg</span><span class='to'>hg</span><span class='to'>hg</span><span class='to'>hg</span><span class='to'>hg</span><span class='to'>hg</span><span class='to'>hg</span><span class='to'>hg</span><span class='to'>hg</span><span class='to'>hg</span><span class='to'>hg</span><span class='to'>hg</span>,<span class='to'>hg</span><span class='to'>hg</span><span class='to'>hg</span><span class='to'>hg</span><span class='to'>hg</span><span class='to'>hg</span><span class='to'>hg</span><span class='to'>hg</span><span class='to'>hg</span><span class='to'>hg</span><span class='to'>hg</span>,charcoals,hghghghghghghghghg,(no hint for this problem)
793,<span class='from'>s</span>heaves,<span class='from'>f</span>athered,<span class='from'>c</span>onstruct,euphony,armrests,<span class='from'>b</span>urly,<span class='from'>b</span>odkins,<span class='from'>s</span>howpiece,<span class='to'>wb</span>heaves,<span class='to'>wb</span>athered,<span class='to'>wb</span>onstruct,euphony,armrests,<span class='to'>wb</span>urly,<span class='to'>wb</span>odkins,<span class='to'>wb</span>howpiece,missionaries,wbissionaries,look at the <b>beginning</b> of the word</li><li>look at <b>consonants</b>
794,<span class='from'>ra</span>ggediest,t<span class='from'>ra</span>vestied,rifles,kick<span class='from'>ba</span>ck,muddled,screw<span class='from'>ba</span>lls,u<span class='from'>na</span><span class='from'>ba</span>ted,<span class='from'>ha</span>g,<span class='to'></span>ggediest,t<span class='to'></span>vestied,rifles,kick<span class='to'></span>ck,muddled,screw<span class='to'></span>lls,u<span class='to'></span><span class='to'></span>ted,<span class='to'></span>g,whitecaps,whiteps,look at <b>consonants</b>
795,nipple,rattle,<span class='from'>ch</span>ambray,<span class='from'>ex</span>emplify,<span class='from'>sp</span>an,teals,pummelled,<span class='from'>un</span>adulterated,nipple,rattle,<span class='to'>rw</span>ambray,<span class='to'>rw</span>emplify,<span class='to'>rw</span>an,teals,pummelled,<span class='to'>rw</span>adulterated,typesets,rwpesets,look at the <b>beginning</b> of the word</li><li>look at <b>consonants</b>
796,w<span class='from'>a</span>tch<span class='from'>e</span>s,<span class='from'>e</span>nd<span class='from'>o</span>w<span class='from'>i</span>ng,<span class='from'>u</span>n<span class='from'>a</span>tt<span class='from'>a</span>ch<span class='from'>e</span>d,<span class='from'>u</span>nd<span class='from'>e</span>rg<span class='from'>a</span>rm<span class='from'>e</span>nts,wh<span class='from'>i</span>stl<span class='from'>i</span>ng,w<span class='from'>a</span>k<span class='from'>e</span>n,p<span class='from'>e</span>rsp<span class='from'>e</span>ct<span class='from'>i</span>v<span class='from'>e</span>,b<span class='from'>u</span>g<span class='from'>a</span>b<span class='from'>o</span><span class='from'>o</span>,w<span class='to'>qy</span>tch<span class='to'>qy</span>s,<span class='to'>qy</span>nd<span class='to'>qy</span>w<span class='to'>qy</span>ng,<span class='to'>qy</span>n<span class='to'>qy</span>tt<span class='to'>qy</span>ch<span class='to'>qy</span>d,<span class='to'>qy</span>nd<span class='to'>qy</span>rg<span class='to'>qy</span>rm<span class='to'>qy</span>nts,wh<span class='to'>qy</span>stl<span class='to'>qy</span>ng,w<span class='to'>qy</span>k<span class='to'>qy</span>n,p<span class='to'>qy</span>rsp<span class='to'>qy</span>ct<span class='to'>qy</span>v<span class='to'>qy</span>,b<span class='to'>qy</span>g<span class='to'>qy</span>b<span class='to'>qy</span><span class='to'>qy</span>,comfort,cqymfqyrt,look at <b>vowels</b>
797,reorganizati<span class='from'>on</span>,repul<span class='from'>se</span>,spa<span class='from'>sm</span>,obnoxio<span class='from'>us</span>,cream<span class='from'>er</span>,rank<span class='from'>ed</span>,mus<span class='from'>ky</span>,machi<span class='from'>ne</span>,reorganizati<span class='to'>ja</span>,repul<span class='to'>ja</span>,spa<span class='to'>ja</span>,obnoxio<span class='to'>ja</span>,cream<span class='to'>ja</span>,rank<span class='to'>ja</span>,mus<span class='to'>ja</span>,machi<span class='to'>ja</span>,conspiracies,conspiracija,look at the <b>end</b> of the word
798,cicatrice<span class='from'>s</span>,transgresso<span class='from'>r</span>,puritanica<span class='from'>l</span>,skunke<span class='from'>d</span>,frot<span class='from'>h</span>,microfilme<span class='from'>d</span>,misconceive<span class='from'>d</span>,he<span class='from'>x</span>,cicatrice<span class='to'>ey</span>,transgresso<span class='to'>ey</span>,puritanica<span class='to'>ey</span>,skunke<span class='to'>ey</span>,frot<span class='to'>ey</span>,microfilme<span class='to'>ey</span>,misconceive<span class='to'>ey</span>,he<span class='to'>ey</span>,andante,andantey,look at the <b>end</b> of the word
