id,before_0,before_1,before_2,before_3,before_4,before_5,before_6,before_7,after_0,after_1,after_2,after_3,after_4,after_5,after_6,after_7,test_before,test_after,hint
1758,claiman<span class='from'>t</span>,compartmen<span class='from'>t</span>,vicin<span class='from'>g</span>,alarme<span class='from'>d</span>,floor<span class='from'>s</span>,opportunit<span class='from'>y</span>,nibble<span class='from'>s</span>,fiasco<span class='from'>s</span>,claiman<span class='to'>is</span>,compartmen<span class='to'>is</span>,vicin<span class='to'>is</span>,alarme<span class='to'>is</span>,floor<span class='to'>is</span>,opportunit<span class='to'>is</span>,nibble<span class='to'>is</span>,fiasco<span class='to'>is</span>,mispronouncing,mispronouncinis,look at the <b>end</b> of the word</li><li>look at <b>consonants</b>
1759,<span class='from'>ci</span>rcumvents,<span class='from'>fa</span>st,<span class='from'>re</span>ins,<span class='from'>ki</span>nswomen,angers,<span class='from'>lu</span>nges,administering,<span class='from'>ha</span>lon,<span class='to'>cc</span>rcumvents,<span class='to'>cc</span>st,<span class='to'>cc</span>ins,<span class='to'>cc</span>nswomen,angers,<span class='to'>cc</span>nges,administering,<span class='to'>cc</span>lon,cheesier,cheesier,look at the <b>beginning</b> of the word</li><li>look at <b>vowels</b></li><li>look at <b>consonants</b>
1760,jingle,<span class='from'>ig</span>neous,<span class='from'>im</span>provising,<span class='from'>un</span>pick,diddles,<span class='from'>as</span>sertively,yellowish,<span class='from'>un</span>seat,jingle,<span class='to'>sl</span>neous,<span class='to'>sl</span>provising,<span class='to'>sl</span>pick,diddles,<span class='to'>sl</span>sertively,yellowish,<span class='to'>sl</span>seat,legations,legations,look at the <b>beginning</b> of the word</li><li>look at <b>vowels</b></li><li>look at <b>consonants</b>
1761,<span class='from'>pr</span>o<span class='from'>ve</span><span class='from'>rb</span>s,<span class='from'>sh</span><span class='from'>le</span><span class='from'>pp</span>i<span class='from'>ng</span>,i<span class='from'>nf</span>e<span class='from'>rs</span>,<span class='from'>co</span><span class='from'>mp</span>e<span class='from'>nd</span>ia,<span class='from'>re</span><span class='from'>sp</span>o<span class='from'>ns</span>e,ei<span class='from'>de</span><span class='from'>rd</span>o<span class='from'>wn</span>s,<span class='from'>fa</span><span class='from'>te</span>s,<span class='from'>ch</span>u<span class='from'>gs</span>,<span class='to'>s</span>o<span class='to'>s</span><span class='to'>s</span>s,<span class='to'>s</span><span class='to'>s</span><span class='to'>s</span>i<span class='to'>s</span>,i<span class='to'>s</span>e<span class='to'>s</span>,<span class='to'>s</span><span class='to'>s</span>e<span class='to'>s</span>ia,<span class='to'>s</span><span class='to'>s</span>o<span class='to'>s</span>e,ei<span class='to'>s</span><span class='to'>s</span>o<span class='to'>s</span>s,<span class='to'>s</span><span class='to'>s</span>s,<span class='to'>s</span>u<span class='to'>s</span>,mudslinging,ssssis,look at <b>consonants</b>
1762,<span class='from'>s</span><span class='from'>o</span><span class='from'>o</span><span class='from'>n</span><span class='from'>e</span><span class='from'>r</span>,<span class='from'>d</span><span class='from'>i</span><span class='from'>e</span><span class='from'>t</span><span class='from'>e</span><span class='from'>t</span><span class='from'>i</span><span class='from'>c</span>,<span class='from'>m</span><span class='from'>a</span><span class='from'>n</span><span class='from'>a</span><span class='from'>c</span><span class='from'>l</span><span class='from'>e</span><span class='from'>s</span>,<span class='from'>i</span><span class='from'>o</span><span class='from'>n</span><span class='from'>o</span><span class='from'>s</span><span class='from'>p</span><span class='from'>h</span><span class='from'>e</span><span class='from'>r</span><span class='from'>e</span>,<span class='from'>u</span><span class='from'>n</span><span class='from'>r</span><span class='from'>e</span><span class='from'>p</span><span class='from'>r</span><span class='from'>e</span><span class='from'>s</span><span class='from'>e</span><span class='from'>n</span><span class='from'>t</span><span class='from'>a</span><span class='from'>t</span><span class='from'>i</span><span class='from'>v</span><span class='from'>e</span>,<span class='from'>a</span><span class='from'>n</span><span class='from'>g</span><span class='from'>o</span><span class='from'>r</span><span class='from'>a</span><span class='from'>s</span>,<span class='from'>t</span><span class='from'>r</span><span class='from'>u</span><span class='from'>n</span><span class='from'>d</span><span class='from'>l</span><span class='from'>e</span><span class='from'>s</span>,<span class='from'>r</span><span class='from'>e</span><span class='from'>v</span><span class='from'>e</span><span class='from'>r</span><span class='from'>e</span><span class='from'>n</span><span class='from'>d</span>,<span class='to'>cp</span><span class='to'>cp</span><span class='to'>cp</span><span class='to'>cp</span><span class='to'>cp</span><span class='to'>cp</span>,<span class='to'>cp</span><span class='to'>cp</span><span class='to'>cp</span><span class='to'>cp</span><span class='to'>cp</span><span class='to'>cp</span><span class='to'>cp</span><span class='to'>cp</span>,<span class='to'>cp</span><span class='to'>cp</span><span class='to'>cp</span><span class='to'>cp</span><span class='to'>cp</span><span class='to'>cp</span><span class='to'>cp</span><span class='to'>cp</span>,<span class='to'>cp</span><span class='to'>cp</span><span class='to'>cp</span><span class='to'>cp</span><span class='to'>cp</span><span class='to'>cp</span><span class='to'>cp</span><span class='to'>cp</span><span class='to'>cp</span><span class='to'>cp</span>,<span class='to'>cp</span><span class='to'>cp</span><span class='to'>cp</span><span class='to'>cp</span><span class='to'>cp</span><span class='to'>cp</span><span class='to'>cp</span><span class='to'>cp</span><span class='to'>cp</span><span class='to'>cp</span><span class='to'>cp</span><span class='to'>cp</span><span class='to'>cp</span><span class='to'>cp</span><span class='to'>cp</span><span class='to'>cp</span>,<span class='to'>cp</span><span class='to'>cp</span><span class='to'>cp</span><span class='to'>cp</span><span class='to'>cp</span><span class='to'>cp</span><span class='to'>cp</span>,<span class='to'>cp</span><span class='to'>cp</span><span class='to'>cp</span><span class='to'>cp</span><span class='to'>cp</span><span class='to'>cp</span><span class='to'>cp</span><span class='to'>cp</span>,<span class='to'>cp</span><span class='to'>cp</span><span class='to'>cp</span><span class='to'>cp</span><span class='to'>cp</span><span class='to'>cp</span><span class='to'>cp</span><span class='to'>cp</span>,fogy,cpcpcpcp,(no hint for this problem)
1763,g<span class='from'>le</span>aning,home<span class='from'>li</span>est,unstructured,fil<span class='from'>le</span>ted,crimino<span class='from'>lo</span>gists,depraving,chi<span class='from'>li</span>,minera<span class='from'>lo</span>gist,g<span class='to'></span>aning,home<span class='to'></span>est,unstructured,fil<span class='to'></span>ted,crimino<span class='to'></span>gists,depraving,chi<span class='to'></span>,minera<span class='to'></span>gist,staunchly,staunchly,look at <b>vowels</b>
1764,massacred,ba<span class='from'>l</span><span class='from'>l</span>ast,materia<span class='from'>l</span>ist,s<span class='from'>l</span>oshes,ho<span class='from'>l</span>iest,reference,guttura<span class='from'>l</span>s,paradoxica<span class='from'>l</span>,massacred,ba<span class='to'>il</span><span class='to'>il</span>ast,materia<span class='to'>il</span>ist,s<span class='to'>il</span>oshes,ho<span class='to'>il</span>iest,reference,guttura<span class='to'>il</span>s,paradoxica<span class='to'>il</span>,nautical,nauticail,(no hint for this problem)
1765,<span class='from'>mu</span>llahs,sights,abominably,<span class='from'>mu</span>lberries,b<span class='from'>ru</span>nets,c<span class='from'>hu</span>ckle,<span class='from'>su</span>percilious,deva<span class='from'>lu</span>ing,<span class='to'>emu</span>llahs,sights,abominably,<span class='to'>emu</span>lberries,b<span class='to'>eru</span>nets,c<span class='to'>ehu</span>ckle,<span class='to'>esu</span>percilious,deva<span class='to'>elu</span>ing,buoy,ebuoy,look at <b>consonants</b>
1766,<span class='from'>ol</span><span class='from'>iv</span><span class='from'>es</span>,ch<span class='from'>or</span>e<span class='from'>og</span>r<span class='from'>ap</span>h<span class='from'>ic</span>,<span class='from'>em</span>pl<span class='from'>ac</span><span class='from'>em</span><span class='from'>en</span>t,c<span class='from'>on</span>j<span class='from'>un</span>ct<span class='from'>iv</span><span class='from'>es</span>,m<span class='from'>ez</span>z<span class='from'>an</span><span class='from'>in</span><span class='from'>es</span>,<span class='from'>en</span><span class='from'>er</span>g<span class='from'>iz</span>e,n<span class='from'>ic</span><span class='from'>el</span>y,<span class='from'>en</span>h<span class='from'>an</span>c<span class='from'>ed</span>,<span class='to'>wol</span><span class='to'>wiv</span><span class='to'>wes</span>,ch<span class='to'>wor</span>e<span class='to'>wog</span>r<span class='to'>wap</span>h<span class='to'>wic</span>,<span class='to'>wem</span>pl<span class='to'>wac</span><span class='to'>wem</span><span class='to'>wen</span>t,c<span class='to'>won</span>j<span class='to'>wun</span>ct<span class='to'>wiv</span><span class='to'>wes</span>,m<span class='to'>wez</span>z<span class='to'>wan</span><span class='to'>win</span><span class='to'>wes</span>,<span class='to'>wen</span><span class='to'>wer</span>g<span class='to'>wiz</span>e,n<span class='to'>wic</span><span class='to'>wel</span>y,<span class='to'>wen</span>h<span class='to'>wan</span>c<span class='to'>wed</span>,sincere,swincwere,look at <b>vowels</b></li><li>look at <b>consonants</b>
1767,<span class='from'>e</span>xtorting,<span class='from'>a</span>eronautical,<span class='from'>a</span>utoimmune,harmonizing,choppering,cutoff,supervisions,<span class='from'>i</span>nadequacy,<span class='to'>na</span>xtorting,<span class='to'>na</span>eronautical,<span class='to'>na</span>utoimmune,harmonizing,choppering,cutoff,supervisions,<span class='to'>na</span>nadequacy,indomitable,nandomitable,look at the <b>beginning</b> of the word</li><li>look at <b>vowels</b>
1768,<span class='from'>ne</span>e<span class='from'>di</span><span class='from'>ne</span>ss,<span class='from'>pi</span>n<span class='from'>ki</span>ng,<span class='from'>de</span><span class='from'>mo</span><span class='from'>ti</span>ons,<span class='from'>fo</span>rth<span class='from'>co</span><span class='from'>mi</span>ng,<span class='from'>ta</span>m<span class='from'>pe</span>d,<span class='from'>pi</span>nw<span class='from'>he</span>e<span class='from'>le</span>d,s<span class='from'>lu</span>rp,c<span class='from'>ri</span>ssc<span class='from'>ro</span>s<span class='from'>si</span>ng,<span class='to'>wp</span>e<span class='to'>wp</span><span class='to'>wp</span>ss,<span class='to'>wp</span>n<span class='to'>wp</span>ng,<span class='to'>wp</span><span class='to'>wp</span><span class='to'>wp</span>ons,<span class='to'>wp</span>rth<span class='to'>wp</span><span class='to'>wp</span>ng,<span class='to'>wp</span>m<span class='to'>wp</span>d,<span class='to'>wp</span>nw<span class='to'>wp</span>e<span class='to'>wp</span>d,s<span class='to'>wp</span>rp,c<span class='to'>wp</span>ssc<span class='to'>wp</span>s<span class='to'>wp</span>ng,barnstormed,wprnswprwpd,look at <b>vowels</b>
1769,birthright,barracu<span class='from'>d</span>a,<span class='from'>d</span>evolve<span class='from'>d</span>,soun<span class='from'>d</span>proof,booze,porterhouse,unresolve<span class='from'>d</span>,pinione<span class='from'>d</span>,birthright,barracu<span class='to'>v</span>a,<span class='to'>v</span>evolve<span class='to'>v</span>,soun<span class='to'>v</span>proof,booze,porterhouse,unresolve<span class='to'>v</span>,pinione<span class='to'>v</span>,scandal,scanval,(no hint for this problem)
1770,herri<span class='from'>ng</span>s,notoriously,riski<span class='from'>ng</span>,studies,bastards,en<span class='from'>ig</span>mas,ind<span class='from'>ig</span>estion,decriminalizi<span class='from'>ng</span>,herri<span class='to'>n</span>s,notoriously,riski<span class='to'>n</span>,studies,bastards,en<span class='to'>n</span>mas,ind<span class='to'>n</span>estion,decriminalizi<span class='to'>n</span>,fingerprinting,finerprintin,(no hint for this problem)
1771,backspaced,<span class='from'>an</span>imus,<span class='from'>en</span>ormities,<span class='from'>in</span>fected,<span class='from'>in</span>accuracy,<span class='from'>au</span>thentication,<span class='from'>ad</span>ulterates,<span class='from'>aq</span>ua,backspaced,<span class='to'>anp</span>imus,<span class='to'>enp</span>ormities,<span class='to'>inp</span>fected,<span class='to'>inp</span>accuracy,<span class='to'>aup</span>thentication,<span class='to'>adp</span>ulterates,<span class='to'>aqp</span>ua,outlives,ouptlives,look at the <b>beginning</b> of the word</li><li>look at <b>vowels</b>
1772,comports,<span class='from'>ch</span>arbroiled,<span class='from'>pr</span>ovisional,<span class='from'>wr</span>iggler,<span class='from'>pr</span>edominating,<span class='from'>pr</span>omotes,<span class='from'>pr</span>ance,<span class='from'>sk</span>inning,comports,<span class='to'>py</span>arbroiled,<span class='to'>py</span>ovisional,<span class='to'>py</span>iggler,<span class='to'>py</span>edominating,<span class='to'>py</span>omotes,<span class='to'>py</span>ance,<span class='to'>py</span>inning,stubbornness,pyubbornness,look at the <b>beginning</b> of the word</li><li>look at <b>consonants</b>
1773,hug<span class='from'>es</span>t,he<span class='from'>is</span>t,sandman,livers,milligrams,carryout,mountaino<span class='from'>us</span>,encl<span class='from'>os</span>e,hug<span class='to'>des</span>t,he<span class='to'>dis</span>t,sandman,livers,milligrams,carryout,mountaino<span class='to'>dus</span>,encl<span class='to'>dos</span>e,rapt,rapt,look at <b>vowels</b>
1774,r<span class='from'>a</span>tch<span class='from'>e</span>ts,c<span class='from'>o</span>cks<span class='from'>u</span>ck<span class='from'>e</span>r,pr<span class='from'>e</span>s<span class='from'>e</span>rv<span class='from'>e</span>s,<span class='from'>e</span>x<span class='from'>i</span>ts,g<span class='from'>o</span><span class='from'>o</span>dw<span class='from'>i</span>ll,d<span class='from'>i</span>tt<span class='from'>o</span>,s<span class='from'>u</span>bp<span class='from'>o</span><span class='from'>e</span>n<span class='from'>a</span><span class='from'>i</span>ng,<span class='from'>a</span>st<span class='from'>e</span>r<span class='from'>i</span>sk<span class='from'>e</span>d,r<span class='to'>pi</span>tch<span class='to'>pi</span>ts,c<span class='to'>pi</span>cks<span class='to'>pi</span>ck<span class='to'>pi</span>r,pr<span class='to'>pi</span>s<span class='to'>pi</span>rv<span class='to'>pi</span>s,<span class='to'>pi</span>x<span class='to'>pi</span>ts,g<span class='to'>pi</span><span class='to'>pi</span>dw<span class='to'>pi</span>ll,d<span class='to'>pi</span>tt<span class='to'>pi</span>,s<span class='to'>pi</span>bp<span class='to'>pi</span><span class='to'>pi</span>n<span class='to'>pi</span><span class='to'>pi</span>ng,<span class='to'>pi</span>st<span class='to'>pi</span>r<span class='to'>pi</span>sk<span class='to'>pi</span>d,regimen,rpigpimpin,look at <b>vowels</b>
1775,<span class='from'>fe</span>nds,<span class='from'>he</span>al,<span class='from'>fl</span>annelling,<span class='from'>fi</span>zzes,<span class='from'>ev</span>ading,<span class='from'>mi</span>santhropists,<span class='from'>vi</span>scera,<span class='from'>ab</span>laze,<span class='to'>bg</span>nds,<span class='to'>bg</span>al,<span class='to'>bg</span>annelling,<span class='to'>bg</span>zzes,<span class='to'>bg</span>ading,<span class='to'>bg</span>santhropists,<span class='to'>bg</span>scera,<span class='to'>bg</span>laze,gill,bgll,look at the <b>beginning</b> of the word
1776,bound,h<span class='from'>e</span>mstitch<span class='from'>e</span>d,crumpl<span class='from'>e</span>s,str<span class='from'>e</span>ptomycin,appr<span class='from'>e</span>h<span class='from'>e</span>nd,stifl<span class='from'>e</span>s,dr<span class='from'>e</span>nching,pr<span class='from'>e</span>dict<span class='from'>e</span>d,bound,h<span class='to'>rp</span>mstitch<span class='to'>rp</span>d,crumpl<span class='to'>rp</span>s,str<span class='to'>rp</span>ptomycin,appr<span class='to'>rp</span>h<span class='to'>rp</span>nd,stifl<span class='to'>rp</span>s,dr<span class='to'>rp</span>nching,pr<span class='to'>rp</span>dict<span class='to'>rp</span>d,interlaces,intrprlacrps,(no hint for this problem)
1777,u<span class='from'>n</span>e<span class='from'>x</span><span class='from'>c</span>e<span class='from'>p</span><span class='from'>t</span>io<span class='from'>n</span>a<span class='from'>l</span>,<span class='from'>s</span><span class='from'>h</span>ee<span class='from'>p</span>,<span class='from'>d</span>u<span class='from'>p</span><span class='from'>l</span>e<span class='from'>x</span>e<span class='from'>s</span>,<span class='from'>b</span>u<span class='from'>r</span>ie<span class='from'>d</span>,<span class='from'>d</span>i<span class='from'>s</span>o<span class='from'>r</span><span class='from'>g</span>a<span class='from'>n</span>i<span class='from'>z</span>i<span class='from'>n</span><span class='from'>g</span>,a<span class='from'>s</span><span class='from'>y</span><span class='from'>l</span>u<span class='from'>m</span>,a<span class='from'>d</span>o<span class='from'>p</span><span class='from'>t</span>,<span class='from'>d</span><span class='from'>r</span>a<span class='from'>f</span><span class='from'>t</span>ee,u<span class='to'>ns</span>e<span class='to'>ns</span><span class='to'>ns</span>e<span class='to'>ns</span><span class='to'>ns</span>io<span class='to'>ns</span>a<span class='to'>ns</span>,<span class='to'>ns</span><span class='to'>ns</span>ee<span class='to'>ns</span>,<span class='to'>ns</span>u<span class='to'>ns</span><span class='to'>ns</span>e<span class='to'>ns</span>e<span class='to'>ns</span>,<span class='to'>ns</span>u<span class='to'>ns</span>ie<span class='to'>ns</span>,<span class='to'>ns</span>i<span class='to'>ns</span>o<span class='to'>ns</span><span class='to'>ns</span>a<span class='to'>ns</span>i<span class='to'>ns</span>i<span class='to'>ns</span><span class='to'>ns</span>,a<span class='to'>ns</span><span class='to'>ns</span><span class='to'>ns</span>u<span class='to'>ns</span>,a<span class='to'>ns</span>o<span class='to'>ns</span><span class='to'>ns</span>,<span class='to'>ns</span><span class='to'>ns</span>a<span class='to'>ns</span><span class='to'>ns</span>ee,nonchalance,nsonsnsnsansansnse,look at <b>consonants</b>
1778,<span class='from'>e</span>nquires,<span class='from'>u</span>ncle,<span class='from'>i</span>rritations,<span class='from'>e</span>xcept,<span class='from'>a</span>ccomplished,<span class='from'>e</span>xhibitors,maiming,vivid,<span class='to'>qf</span>nquires,<span class='to'>qf</span>ncle,<span class='to'>qf</span>rritations,<span class='to'>qf</span>xcept,<span class='to'>qf</span>ccomplished,<span class='to'>qf</span>xhibitors,maiming,vivid,heritages,heritages,look at the <b>beginning</b> of the word</li><li>look at <b>vowels</b>
1779,barracuda,<span class='from'>st</span>atement,imminence,<span class='from'>cl</span>imes,<span class='from'>sc</span>andalizes,exalts,<span class='from'>sm</span>irked,<span class='from'>pr</span>ompt,barracuda,<span class='to'>g</span>atement,imminence,<span class='to'>g</span>imes,<span class='to'>g</span>andalizes,exalts,<span class='to'>g</span>irked,<span class='to'>g</span>ompt,clasps,gasps,look at the <b>beginning</b> of the word</li><li>look at <b>consonants</b>
1780,glosse<span class='from'>d</span>,equin<span class='from'>e</span>,prefabbe<span class='from'>d</span>,inter<span class='from'>n</span>,serializ<span class='from'>e</span>,glimpsin<span class='from'>g</span>,interpos<span class='from'>e</span>,uncluttere<span class='from'>d</span>,glosse<span class='to'>s</span>,equin<span class='to'>s</span>,prefabbe<span class='to'>s</span>,inter<span class='to'>s</span>,serializ<span class='to'>s</span>,glimpsin<span class='to'>s</span>,interpos<span class='to'>s</span>,uncluttere<span class='to'>s</span>,configurable,configurabls,look at the <b>end</b> of the word
1781,dalmatia<span class='from'>n</span>,blissfull<span class='from'>y</span>,absolutes<span class='from'>t</span>,sixteent<span class='from'>h</span>,firepowe<span class='from'>r</span>,describ<span class='from'>e</span>,benum<span class='from'>b</span>,boneyes<span class='from'>t</span>,dalmatia<span class='to'>vm</span>,blissfull<span class='to'>vm</span>,absolutes<span class='to'>vm</span>,sixteent<span class='to'>vm</span>,firepowe<span class='to'>vm</span>,describ<span class='to'>vm</span>,benum<span class='to'>vm</span>,boneyes<span class='to'>vm</span>,forecasters,forecastervm,look at the <b>end</b> of the word
1782,coll<span class='from'>ie</span>ry,chat<span class='from'>te</span><span class='from'>re</span>rs,nimbus,in<span class='from'>je</span>ction,<span class='from'>be</span>si<span class='from'>de</span>,platoons,<span class='from'>se</span><span class='from'>ve</span>n,t<span class='from'>he</span><span class='from'>re</span>from,coll<span class='to'>mie</span>ry,chat<span class='to'>mte</span><span class='to'>mre</span>rs,nimbus,in<span class='to'>mje</span>ction,<span class='to'>mbe</span>si<span class='to'>mde</span>,platoons,<span class='to'>mse</span><span class='to'>mve</span>n,t<span class='to'>mhe</span><span class='to'>mre</span>from,rapprochements,rapprocmhemments,(no hint for this problem)
1783,d<span class='from'>i</span>g,<span class='from'>o</span>r<span class='from'>i</span>g<span class='from'>i</span>n<span class='from'>a</span>t<span class='from'>e</span>d,m<span class='from'>o</span><span class='from'>u</span>s<span class='from'>e</span>d,n<span class='from'>a</span>k<span class='from'>e</span>dly,p<span class='from'>a</span>r<span class='from'>o</span>l<span class='from'>e</span><span class='from'>e</span>,v,tr<span class='from'>e</span><span class='from'>a</span>s<span class='from'>o</span>n<span class='from'>a</span>bl<span class='from'>e</span>,h<span class='from'>o</span>d,d<span class='to'>o</span>g,<span class='to'>o</span>r<span class='to'>o</span>g<span class='to'>o</span>n<span class='to'>o</span>t<span class='to'>o</span>d,m<span class='to'>o</span><span class='to'>o</span>s<span class='to'>o</span>d,n<span class='to'>o</span>k<span class='to'>o</span>dly,p<span class='to'>o</span>r<span class='to'>o</span>l<span class='to'>o</span><span class='to'>o</span>,v,tr<span class='to'>o</span><span class='to'>o</span>s<span class='to'>o</span>n<span class='to'>o</span>bl<span class='to'>o</span>,h<span class='to'>o</span>d,overpasses,ovorpossos,look at <b>vowels</b>
1784,turboprop,accountant<span class='from'>s</span>,epaulette<span class='from'>s</span>,fearles<span class='from'>s</span>,thickest,computerize<span class='from'>s</span>,perishe<span class='from'>s</span>,warm<span class='from'>s</span>,turboprop,accountant<span class='to'>ix</span>,epaulette<span class='to'>ix</span>,fearles<span class='to'>ix</span>,thickest,computerize<span class='to'>ix</span>,perishe<span class='to'>ix</span>,warm<span class='to'>ix</span>,appellations,appellationix,look at the <b>end</b> of the word
1785,retardation,<span class='from'>sh</span>rimp,<span class='from'>br</span>anched,<span class='from'>pr</span>olongs,reputedly,fifths,<span class='from'>un</span>derpaying,<span class='from'>ad</span>vocating,retardation,<span class='to'>dc</span>rimp,<span class='to'>dc</span>anched,<span class='to'>dc</span>olongs,reputedly,fifths,<span class='to'>dc</span>derpaying,<span class='to'>dc</span>vocating,retouched,retouched,look at the <b>beginning</b> of the word</li><li>look at <b>consonants</b>
1786,<span class='from'>s</span>yphoned,<span class='from'>c</span>laimed,<span class='from'>t</span>iniest,<span class='from'>p</span>inched,<span class='from'>n</span>onjudgmental,<span class='from'>l</span>oxes,<span class='from'>s</span>creeches,<span class='from'>r</span>efinery,<span class='to'>ff</span>yphoned,<span class='to'>ff</span>laimed,<span class='to'>ff</span>iniest,<span class='to'>ff</span>inched,<span class='to'>ff</span>onjudgmental,<span class='to'>ff</span>oxes,<span class='to'>ff</span>creeches,<span class='to'>ff</span>efinery,writhed,ffrithed,look at the <b>beginning</b> of the word</li><li>look at <b>consonants</b>
1787,<span class='from'>cr</span>unch,<span class='from'>py</span>x,pacifying,<span class='from'>cr</span>emation,<span class='from'>pr</span>ovably,<span class='from'>cl</span>ip,irrepressible,<span class='from'>fr</span>azzle,<span class='to'>pq</span>unch,<span class='to'>pq</span>x,pacifying,<span class='to'>pq</span>emation,<span class='to'>pq</span>ovably,<span class='to'>pq</span>ip,irrepressible,<span class='to'>pq</span>azzle,postmasters,postmasters,look at the <b>beginning</b> of the word</li><li>look at <b>consonants</b>
1788,ad<span class='from'>vi</span><span class='from'>so</span>ry,<span class='from'>te</span><span class='from'>pe</span>e,<span class='from'>ne</span>g<span class='from'>li</span>g,<span class='from'>pu</span>l<span class='from'>se</span>,<span class='from'>fo</span>ot<span class='from'>hi</span>ll,<span class='from'>co</span>mp<span class='from'>la</span>ints,t<span class='from'>hu</span>g,<span class='from'>mo</span><span class='from'>ve</span>,ad<span class='to'>vivi</span><span class='to'>soso</span>ry,<span class='to'>tete</span><span class='to'>pepe</span>e,<span class='to'>nene</span>g<span class='to'>lili</span>g,<span class='to'>pupu</span>l<span class='to'>sese</span>,<span class='to'>fofo</span>ot<span class='to'>hihi</span>ll,<span class='to'>coco</span>mp<span class='to'>lala</span>ints,t<span class='to'>huhu</span>g,<span class='to'>momo</span><span class='to'>veve</span>,pebblier,pepebblilier,look at <b>vowels</b></li><li>look at <b>consonants</b></li><li>look for <b>repitition</b>
1789,p<span class='from'>er</span>v<span class='from'>er</span>si<span class='from'>on</span>,f<span class='from'>or</span>g<span class='from'>et</span>f<span class='from'>ul</span>n<span class='from'>es</span>s,s<span class='from'>it</span><span class='from'>ar</span>,<span class='from'>un</span>d<span class='from'>er</span><span class='from'>ar</span>ms,g<span class='from'>ul</span>l<span class='from'>ed</span>,<span class='from'>in</span>t<span class='from'>ol</span><span class='from'>er</span><span class='from'>an</span>ce,y<span class='from'>ap</span>p<span class='from'>ed</span>,r<span class='from'>el</span><span class='from'>eg</span><span class='from'>at</span>e,p<span class='to'>ter</span>v<span class='to'>ter</span>si<span class='to'>ton</span>,f<span class='to'>tor</span>g<span class='to'>tet</span>f<span class='to'>tul</span>n<span class='to'>tes</span>s,s<span class='to'>tit</span><span class='to'>tar</span>,<span class='to'>tun</span>d<span class='to'>ter</span><span class='to'>tar</span>ms,g<span class='to'>tul</span>l<span class='to'>ted</span>,<span class='to'>tin</span>t<span class='to'>tol</span><span class='to'>ter</span><span class='to'>tan</span>ce,y<span class='to'>tap</span>p<span class='to'>ted</span>,r<span class='to'>tel</span><span class='to'>teg</span><span class='to'>tat</span>e,pities,ptitites,look at <b>vowels</b></li><li>look at <b>consonants</b>
1790,<span class='from'>nu</span>dists,<span class='from'>ni</span>rvana,<span class='from'>to</span>g,<span class='from'>pe</span>rmission,<span class='from'>su</span>bsides,<span class='from'>to</span>ilets,<span class='from'>bu</span>ttercup,<span class='from'>ac</span>quiescent,<span class='to'>gt</span>dists,<span class='to'>gt</span>rvana,<span class='to'>gt</span>g,<span class='to'>gt</span>rmission,<span class='to'>gt</span>bsides,<span class='to'>gt</span>ilets,<span class='to'>gt</span>ttercup,<span class='to'>gt</span>quiescent,stature,gtature,look at the <b>beginning</b> of the word
1791,<span class='from'>jo</span>i<span class='from'>nt</span>ed,<span class='from'>co</span><span class='from'>ns</span>o<span class='from'>li</span><span class='from'>da</span><span class='from'>ti</span>on,<span class='from'>gl</span>a<span class='from'>zi</span><span class='from'>ng</span>,<span class='from'>ch</span>i<span class='from'>ld</span>,<span class='from'>ge</span><span class='from'>st</span>u<span class='from'>re</span>s,<span class='from'>re</span><span class='from'>si</span><span class='from'>de</span><span class='from'>nt</span>ial,<span class='from'>va</span><span class='from'>ri</span>a<span class='from'>ti</span>o<span class='from'>ns</span>,<span class='from'>ba</span><span class='from'>sh</span><span class='from'>fu</span><span class='from'>ln</span>e<span class='from'>ss</span>,<span class='to'>jok</span>i<span class='to'>ntk</span>ed,<span class='to'>cok</span><span class='to'>nsk</span>o<span class='to'>lik</span><span class='to'>dak</span><span class='to'>tik</span>on,<span class='to'>glk</span>a<span class='to'>zik</span><span class='to'>ngk</span>,<span class='to'>chk</span>i<span class='to'>ldk</span>,<span class='to'>gek</span><span class='to'>stk</span>u<span class='to'>rek</span>s,<span class='to'>rek</span><span class='to'>sik</span><span class='to'>dek</span><span class='to'>ntk</span>ial,<span class='to'>vak</span><span class='to'>rik</span>a<span class='to'>tik</span>o<span class='to'>nsk</span>,<span class='to'>bak</span><span class='to'>shk</span><span class='to'>fuk</span><span class='to'>lnk</span>e<span class='to'>ssk</span>,waned,waknekd,look at <b>consonants</b>
1792,t<span class='from'>o</span>tal,squiggled,thr<span class='from'>o</span>e,g<span class='from'>o</span>ulashes,r<span class='from'>o</span>ck,trader,kn<span class='from'>o</span>ts,pester,t<span class='to'>ap</span>tal,squiggled,thr<span class='to'>ap</span>e,g<span class='to'>ap</span>ulashes,r<span class='to'>ap</span>ck,trader,kn<span class='to'>ap</span>ts,pester,spout,spaput,(no hint for this problem)
1793,mendicant<span class='from'>s</span>,uncomfortable,invalidate<span class='from'>s</span>,punctuatin<span class='from'>g</span>,spruce<span class='from'>s</span>,petrifie<span class='from'>d</span>,interlardin<span class='from'>g</span>,dogwood<span class='from'>s</span>,mendicant<span class='to'>b</span>,uncomfortable,invalidate<span class='to'>b</span>,punctuatin<span class='to'>b</span>,spruce<span class='to'>b</span>,petrifie<span class='to'>b</span>,interlardin<span class='to'>b</span>,dogwood<span class='to'>b</span>,painters,painterb,look at the <b>end</b> of the word</li><li>look at <b>consonants</b>
